,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.005,"[1.0, 0.0, 0.0]","[1.0, 0.0, 1.0]","[0.0, 0.0, 0.07552536931953528]","[0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 1.5010073863907059, 0.010210147727814116]",[19.810000000000002],"[0.9987347646894552, 0.0, 0.050287869319535286, 0.0]",[0.5],"[2.0, 0.0, 0.0]","[0.0, 70.37400088100719, 122.51560661363538, 70.37400088100719]"
1,0.01,"[1.0, 0.0, 0.0003776268465976764]","[1.0, 0.0, 1.0]","[0.0, 0.0, 0.1217491008535585]","[0.0, 0.0, 0.0]","[0.9999929590511721, 0.0, 0.00375249204468627, 2.5525189596716098e-05]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 2.0906032612557177, 0.005105073863907059]",[19.054746306804645],"[0.998633246618856, 0.0, 0.05226508153139294, 0.0]",[0.5],"[2.0, 0.0, 0.0]","[34.315783094484665, 73.4970802800325, 84.10429072311257, 73.4970802800325]"
2,0.015,"[1.0, 0.0, 0.000986372350865469]","[1.0, 0.0, 1.0]","[0.0006980794009427217, 1.781873452342292e-08, 0.16571257670918954]","[0.0, 0.0, 0.0]","[0.9999596886638081, -8.551457090948018e-08, 0.008978840763608643, 3.828726146069238e-05]","[[0.9999718363038386, -5.1050019750324654e-05, 0.007504931247163613], [5.1050019750324654e-05, 0.9999999986969295, 1.9156614180157178e-07], [-0.007504931247163613, 1.9156614180157178e-07, 0.9999718376069091]]","[5.468948503375941e-05, 1.9926699138729438, 0.002042766016113866]",[18.603219082294757],"[0.9985644061684961, 0.0, 0.053564229980080036, 0.0]",[0.5],"[1.9999436726076771, -0.00010210003950064931, 0.015009862494327226]","[68.9759597723251, 70.94589349724669, 61.46828086652229, 70.94974770196866]"
3,0.02,"[1.0000034903970048, 8.90936726171146e-11, 0.0018149352344114167]","[1.0, 0.0, 1.0]","[0.002329996370487678, 9.584527891057942e-08, 0.20752729193085215]","[0.0, 0.0, 0.0]","[0.9999025515349547, -9.367571552085759e-08, 0.013960141511888093, 4.339177858225707e-05]","[[0.9998387579052548, -7.657297174347786e-05, 0.01795695762253178], [7.656990045661721e-05, 0.9999999970681566, 8.585726952661397e-07], [-0.017956957635628254, 5.16528200454688e-07, 0.9998387608370689]]","[8.735080874712367e-05, 1.8284408909567917, 0.0002568777245813337]",[18.17587370699458],"[0.9985040044413452, 4.888583494174195e-09, 0.054678634900645375, -0.0]",[0.5],"[1.9996775158105096, -0.00015314594348695573, 0.03591391524506356]","[71.70688603535812, 69.0437626188756, 59.15730957139885, 69.04612784080493]"
4,0.025,"[1.0000151403788573, 5.683200671700117e-10, 0.0028525716940656773]","[1.0, 0.0, 1.0]","[0.004809753733274764, 2.2009658223334665e-07, 0.2472669507441302]","[0.0, 0.0, 0.0]","[0.9998282926336086, -6.470243044613173e-08, 0.01853060470466108, 4.4029973537242414e-05]","[[0.9996102251322433, -8.67777156925671e-05, 0.027917562226922384], [8.67724847875875e-05, 0.9999999962342897, 1.3988439128539836e-06], [-0.027917562243181406, 1.0241775649893112e-06, 0.9996102288979186]]","[0.00010119644302067173, 1.663335886429538, -0.0007379462248826292]",[17.764855990153208],"[0.9984571631124721, 2.6949366878618064e-08, 0.055527411513536205, -0.0]",[0.5],"[1.9992204502644866, -0.0001735554313851342, 0.05583512445384477]","[71.7104317829113, 67.56846722436383, 59.08752813596992, 67.56949177989031]"
5,0.030000000000000002,"[1.0000391891475238, 1.668802978336745e-09, 0.004088906447786329]","[1.0, 0.0, 1.0]","[0.008027826183202351, 3.730489511483756e-07, 0.2850035051775331]","[0.0, 0.0, 0.0]","[0.9997425925319013, -2.9032574443794643e-08, 0.02268803425664938, 4.218010293592808e-05]","[[0.9993132295012821, -8.804722448321215e-05, 0.03705484572096151], [8.804242858256405e-05, 0.9999999961227146, 1.7611867106750554e-06], [-0.03705484573235689, 1.5024214284262526e-06, 0.9993132333785509]]","[0.00010394857637693349, 1.5041044852021601, -0.001248088973532527]",[17.369239500609556],"[0.9984243875888226, 6.344207742651735e-08, 0.05611365491465313, -0.0]",[0.5],"[1.9986264590025642, -0.0001760944489664243, 0.07410969144192302]","[71.23692187137259, 66.37818887305411, 59.01173633637856, 66.37839617978433]"
6,0.035,"[1.0000793282784397, 3.5340477340786227e-09, 0.005513923973673994]","[1.0, 0.0, 1.0]","[0.011881242236657407, 5.405592813004978e-07, 0.320809691355329]","[0.0, 0.0, 0.0]","[0.9996502124391144, 1.3720454511836186e-09, 0.026447140586215043, 3.9054402423101016e-05]","[[0.9989705026448161, -8.433980830894149e-05, 0.04536438837194129], [8.433717354076732e-05, 0.9999999964416763, 1.972017443203296e-06], [-0.045364388376839676, 1.8559170382340374e-06, 0.9989705062031367]]","[0.00010080831867180677, 1.3513207894921764, -0.0014662186034353306]",[16.988727024647666],"[0.9984054609167229, 1.102082336277111e-07, 0.05644940754032805, -0.0]",[0.5],"[1.9979410052896323, -0.00016867961661788298, 0.09072877674388258]","[70.59627490862378, 65.37938253905655, 58.78772893958524, 65.3791423820414]"
7,0.04,"[1.000138734489623, 6.236844140581112e-09, 0.007117972430450639]","[1.0, 0.0, 1.0]","[0.01627602423580528, 7.12026927117452e-07, 0.3547586405255517]","[0.0, 0.0, 0.0]","[0.9995551622408926, 2.4423760391136823e-08, 0.029824090692026406, 3.538327556984447e-05]","[[0.9986010944591333, -7.808141078451333e-05, 0.05287577941094116], [7.808155593122907e-05, 0.9999999969495073, 2.0630114117352364e-06], [-0.05287577941072682, 2.0684976738422435e-06, 0.998601097509626]]","[9.482523432998277e-05, 1.204924071928708, -0.0015128625354507]",[16.623043851485985],"[0.9983998984257203, 1.6362115425876108e-07, 0.05654770396297856, -0.0]",[0.5],"[1.9972021889182665, -0.00015616282156902665, 0.10575155882188232]","[69.87069528197725, 64.51062989767753, 58.46320965831617, 64.51016616744765]"
8,0.045,"[1.000220114610802, 9.796978776168372e-09, 0.008891765633078398]","[1.0, 0.0, 1.0]","[0.02112680779289247, 8.797674840579361e-07, 0.3869233408119178]","[0.0, 0.0, 0.0]","[0.9994607884059231, 4.199642621720009e-08, 0.0328349119189181, 3.1595661708520454e-05]","[[0.9982210447248352, -7.07336146727703e-05, 0.05962164762243949], [7.073652833855008e-05, 0.9999999974960465, 2.0617222475914166e-06], [-0.05962164761898271, 2.1593738307125984e-06, 0.9982210472287865]]","[8.77059135798845e-05, 1.0648013751640306, -0.00146286537630419]",[16.271886975701513],"[0.9984070262784012, 2.2074581390472457e-07, 0.05642171459528046, -0.0]",[0.5],"[1.9964420894496704, -0.0001414672293455406, 0.11924329524487898]","[69.10017997546807, 63.73192053936406, 58.082767711217976, 63.731362000417924]"
9,0.049999999999999996,"[1.0003257486497665, 1.4195816196458053e-08, 0.010826382337137987]","[1.0, 0.0, 1.0]","[0.026356205463514793, 1.0383944127651887e-06, 0.41737617177618097]","[0.0, 0.0, 0.0]","[0.9993698409742028, 5.695237872187804e-08, 0.035495354216081694, 2.7933283536152526e-05]","[[0.9978437351219822, -6.315449202489787e-05, 0.06563441391009567], [6.316000782072089e-05, 0.999999998003425, 1.990933975923857e-06], [-0.06563441390478805, 2.1588291009529532e-06, 0.9978437371185505]]","[8.036846906484242e-05, 0.9308466742312858, -0.0013622150188732029]",[15.934926082482939],"[0.9984260179406577, 2.7926136049484743e-07, 0.05608463870868457, -0.0]",[0.5],"[1.9956874702439644, -0.00012630898404979575, 0.13126882782019134]","[68.30875727140211, 63.01735406349933, 57.67615894488713, 63.01677188431097]"
