,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.005,"[1.0, 0.0, 0.0]","[1.0, 0.0, 1.0]","[0.0, 0.0, 0.07347080375844742]","[0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 1.4599160751689484, 0.009388321503378967]",[19.810000000000002],"[0.9988360968690235, 0.0, 0.04823330375844741, 0.0]",[0.5],"[1.917702154416812, 0.0, 0.0]","[0.0, 70.37400088100719, 120.82698685181835, 70.37400088100719]"
1,0.01,"[1.0, 0.0, 0.0003673540187922371]","[1.0, 0.0, 1.0]","[0.0, 0.0, 0.11979726357052506]","[0.0, 0.0, 0.0]","[0.9999933393069007, 0.0, 0.0036497658777900526, 2.3470647426626786e-05]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 2.017369038971968, 0.004694160751689486]",[19.075291962415527],"[0.9987273846502726, 0.0, 0.050434225974299196, 0.0]",[0.5],"[1.9314723669634133, 0.0, 0.0]","[37.346861683782734, 73.18191774314927, 83.4824395646042, 73.18191774314927]"
2,0.015,"[1.0, 0.0, 0.0009663403366448624]","[1.0, 0.0, 1.0]","[0.0006796569593496986, 1.5952095115959846e-08, 0.16385506854576184]","[0.0, 0.0, 0.0]","[0.9999622141565881, -7.553996354625593e-08, 0.00869304432401199, 3.520552339455399e-05]","[[0.9999733573163323, -4.694098219169487e-05, 0.007299483135639313], [4.694098219169487e-05, 0.9999999988982576, 1.713247362146867e-07], [-0.007299483135639313, 1.713247362146867e-07, 0.9999733584180749]]","[4.8870122970856755e-05, 1.936373863034881, 0.001878303836307822]",[18.622057116107626],"[0.9986442449071669, 0.0, 0.05205451098410771, 0.0]",[0.5],"[1.9451609681276394, -9.13101991136101e-05, 0.014199047983695355]","[68.6185692381416, 70.76193922466202, 62.43841994252229, 70.76539227662396]"
3,0.02,"[1.0000033982847967, 7.976047557979924e-11, 0.0017856156793736716]","[1.0, 0.0, 1.0]","[0.0022611209748448513, 8.537291820447426e-08, 0.20575621798477126]","[0.0, 0.0, 0.0]","[0.9999084153382896, -8.297549245191516e-08, 0.013533637490218148, 3.9899210283014e-05]","[[0.9998488594819039, -7.040969959282221e-05, 0.01738543169468193], [7.040707290381686e-05, 0.999999997521131, 7.631605690478418e-07], [-0.01738543170531963, 4.610121322277536e-07, 0.9998488619607503]]","[7.854830376554674e-05, 1.7931588293492096, 0.00023613188491714444]",[18.192979539057525],"[0.9985672288849952, 4.372779003218339e-09, 0.05351158189534149, -0.0]",[0.5],"[1.9586271504116592, -0.00013792719566264232, 0.03405672589002709]","[71.12698896529294, 68.94467338224355, 60.22373470993134, 68.94682566726469]"
4,0.025,"[1.000014703889671, 5.066250666021705e-10, 0.002814396769297528]","[1.0, 0.0, 1.0]","[0.0046672977712485155, 1.9613867079792314e-07, 0.2455779525625793]","[0.0, 0.0, 0.0]","[0.9998376989088819, -5.749688453302986e-08, 0.018015942980275732, 4.048604953969384e-05]","[[0.9996336781286729, -7.979335817514628e-05, 0.02706479602659248], [7.978886633420463e-05, 0.9999999968160924, 1.2458986825716093e-06], [-0.02706479603983511, 9.140271098935744e-07, 0.999633681312553]]","[9.161881627505864e-05, 1.6484191958170031, -0.0006786249724260647]",[17.78086037699659],"[0.9985012535753639, 2.3983726362844655e-08, 0.054728846218666104, -0.0]",[0.5],"[1.9718808355440913, -0.00015740065309106485, 0.05338810983504898]","[71.09548969338546, 67.5240279371314, 60.059739588348314, 67.5249957717851]"
5,0.030000000000000002,"[1.0000380403785272, 1.4873184205917863e-09, 0.004042286532110424]","[1.0, 0.0, 1.0]","[0.0077988069734031915, 3.3293572601249307e-07, 0.2833950233473251]","[0.0, 0.0, 0.0]","[0.9997549650090155, -2.5896923607321725e-08, 0.022136134159786724, 3.878506967393104e-05]","[[0.9993508483188225, -8.096102894054355e-05, 0.036026037941489376], [8.095688549817038e-05, 0.999999996721753, 1.573763825459354e-06], [-0.036026037950800664, 1.343813614555617e-06, 0.9993508515970563]]","[9.477075729728314e-05, 1.5084296096709653, -0.001147691662961864]",[17.384699406804735],"[0.9984471176838945, 5.64838553740168e-08, 0.055707748013360946, -0.0]",[0.5],"[1.9849638639575264, -0.0001608091063375261, 0.07155683471497416]","[70.62215973838805, 66.36861026353533, 59.896523978057516, 66.36884772032184]"
6,0.035,"[1.0000770344133942, 3.1519970506542516e-09, 0.00545926164884705]","[1.0, 0.0, 1.0]","[0.011561930212053768, 4.833269494989188e-07, 0.3192820929005279]","[0.0, 0.0, 0.0]","[0.999664380027685, 1.196895409483334e-09, 0.025906099943222544, 3.591094592934688e-05]","[[0.9990199801203568, -7.75522784650169e-05, 0.044261420062696066], [7.754998543391573e-05, 0.9999999969914356, 1.7688841673073842e-06], [-0.04426142006671373, 1.665321855487868e-06, 0.9990199831289187]]","[9.255285269491652e-05, 1.3737350443779162, -0.0013482372161703056]",[17.00407819414801],"[0.9984049729883893, 9.826088896456192e-08, 0.0564580367356507, -0.0]",[0.5],"[1.9979124986468764, -0.00015509466229607697, 0.088517192959911]","[69.99588688523914, 65.39188659314755, 59.602672154197094, 65.39171700731711]"
7,0.04,"[1.0001348440644544, 5.568631798148846e-09, 0.00705567211334969]","[1.0, 0.0, 1.0]","[0.01587089945181086, 6.379189819013843e-07, 0.3533134954729381]","[0.0, 0.0, 0.0]","[0.999569515068317, 2.1852009390748632e-08, 0.029339111907887037, 3.253530215790251e-05]","[[0.9986577453922715, -7.179772498355234e-05, 0.05179481067743959], [7.179784901112074e-05, 0.999999997420808, 1.8582321211876839e-06], [-0.051794810677267655, 1.8630180960176005e-06, 0.9986577479714636]]","[8.76591569676748e-05, 1.2442904320391786, -0.001391095868732909]",[16.638613727509824],"[0.9983747273452312, 1.4614434706829574e-07, 0.05699038338451449, -0.0]",[0.5],"[2.0107581656817444, -0.00014456190066532005, 0.1042868179715493]","[69.29299504279504, 64.53708416039895, 59.2205457473455, 64.53670502101222]"
8,0.045,"[1.0002141985617135, 8.758226707655768e-09, 0.008822239590714381]","[1.0, 0.0, 1.0]","[0.02064757067324511, 7.898386504506468e-07, 0.3855628460783489]","[0.0, 0.0, 0.0]","[0.9994734134859282, 3.766317335376455e-08, 0.032448341879585535, 2.9052557406602638e-05]","[[0.9982784309078211, -6.504131016405368e-05, 0.05865296372602536], [6.50438746382494e-05, 0.9999999978829072, 1.865428537075282e-06], [-0.05865296372318151, 1.9527989467951974e-06, 0.9982784330249119]]","[8.161717291163769e-05, 1.1200014614604676, -0.0013450934187301778]",[16.287910850495546],"[0.9983561102881772, 1.9755035850305154e-07, 0.057315591685177664, -0.0]",[0.5],"[2.023528370282201, -0.0001318399078677876, 0.11889061450803233]","[68.5505132859542, 63.76721427421638, 58.790162153039454, 63.76674051928062]"
9,0.049999999999999996,"[1.0003174364150798, 1.2707419959909002e-08, 0.010750053821106125]","[1.0, 0.0, 1.0]","[0.0258208623312551, 9.342104888994896e-07, 0.41610270144914563]","[0.0, 0.0, 0.0]","[0.9993786405353111, 5.1136064258895616e-08, 0.035246732927645096, 2.568497854678458e-05]","[[0.9978942085304291, -5.807207322829555e-05, 0.06486251004288393], [5.8076961658396555e-05, 0.9999999983118952, 1.810127949542256e-06], [-0.0648625100385071, 1.9607013112806533e-06, 0.9978942102185285]]","[7.526385617939014e-05, 1.0007798262318426, -0.0012525191252455638]",[15.951561709806368],"[0.9983487010209627, 2.504194691952692e-07, 0.05744450513054899, -0.0]",[0.5],"[2.036247081712549, -0.00011849862302964598, 0.13235480841388797]","[67.79063644988365, 63.058309582081854, 58.33827249751267, 63.057805814842254]"
