time,IDX_POS_X,IDX_POS_Y,IDX_POS_Z,IDX_VEL_X,IDX_VEL_Y,IDX_VEL_Z,IDX_QUAT_W,IDX_QUAT_X,IDX_QUAT_Y,IDX_QUAT_Z,IDX_OMEGA_X,IDX_OMEGA_Y,IDX_OMEGA_Z
5.000000000000000104e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.347080375844741718e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.459916075168948391e+00,9.388321503378966801e-03
1.000000000000000021e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.673540187922371011e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.197972635705250588e-01,9.999933393069007082e-01,0.000000000000000000e+00,3.649765877790052578e-03,2.347064742662678585e-05,0.000000000000000000e+00,2.017369038971967843e+00,4.694160751689486002e-03
1.499999999999999944e-02,1.000000000000000000e+00,0.000000000000000000e+00,9.663403366448623712e-04,6.796569593496985849e-04,1.595209511595984612e-08,1.638550685457618450e-01,9.999622141565881472e-01,-7.553996354625592668e-08,8.693044324011989579e-03,3.520552339455398775e-05,4.887012297085675518e-05,1.936373863034881015e+00,1.878303836307822043e-03
2.000000000000000042e-02,1.000003398284796674e+00,7.976047557979923578e-11,1.785615679373671631e-03,2.261120974844851254e-03,8.537291820447425628e-08,2.057562179847712558e-01,9.999084153382895579e-01,-8.297549245191515721e-08,1.353363749021814846e-02,3.989921028301400237e-05,7.854830376554674089e-05,1.793158829349209560e+00,2.361318849171444370e-04
2.500000000000000139e-02,1.000014703889670953e+00,5.066250666021705492e-10,2.814396769297527849e-03,4.667297771248515512e-03,1.961386707979231426e-07,2.455779525625793047e-01,9.998376989088818556e-01,-5.749688453302985773e-08,1.801594298027573218e-02,4.048604953969383793e-05,9.161881627505864356e-05,1.648419195817003136e+00,-6.786249724260646522e-04
3.000000000000000236e-02,1.000038040378527171e+00,1.487318420591786291e-09,4.042286532110424269e-03,7.798806973403191525e-03,3.329357260124930705e-07,2.833950233473250813e-01,9.997549650090155060e-01,-2.589692360732172535e-08,2.213613415978672380e-02,3.878506967393104197e-05,9.477075729728313969e-05,1.508429609670965288e+00,-1.147691662961863954e-03
3.500000000000000333e-02,1.000077034413394239e+00,3.151997050654251644e-09,5.459261648847049848e-03,1.156193021205376842e-02,4.833269494989188414e-07,3.192820929005278918e-01,9.996643800276849845e-01,1.196895409483333991e-09,2.590609994322254361e-02,3.591094592934688243e-05,9.255285269491652441e-05,1.373735044377916159e+00,-1.348237216170305574e-03
4.000000000000000083e-02,1.000134844064454409e+00,5.568631798148846082e-09,7.055672113349689689e-03,1.587089945181086037e-02,6.379189819013842922e-07,3.533134954729381105e-01,9.995695150683170382e-01,2.185200939074863245e-08,2.933911190788703743e-02,3.253530215790251202e-05,8.765915696767480184e-05,1.244290432039178551e+00,-1.391095868732908922e-03
4.499999999999999833e-02,1.000214198561713452e+00,8.758226707655767543e-09,8.822239590714381005e-03,2.064757067324510947e-02,7.898386504506467904e-07,3.855628460783488975e-01,9.994734134859282193e-01,3.766317335376455124e-08,3.244834187958553495e-02,2.905255740660263786e-05,8.161717291163768687e-05,1.120001461460467640e+00,-1.345093418730177815e-03
4.999999999999999584e-02,1.000317436415079753e+00,1.270741995990900163e-08,1.075005382110612480e-02,2.582086233125509972e-02,9.342104888994896139e-07,4.161027014491456288e-01,9.993786405353111135e-01,5.113606425889561635e-08,3.524673292764509552e-02,2.568497854678458082e-05,7.526385617939013563e-05,1.000779826231842584e+00,-1.252519125245563818e-03
